source_id,kohde,tyyppi,kunta,lisatieto,palvelut,linkki,lipas_type_name,lipas_type_code,lipas_loi_type,omistaja,yllapitaja,sijainti,x_eureffin,y_eureffin,geometry
1,Pysäköintialue,Pysakointi_liikeste,Kaarina,Reitti: Tuorlan esteetön luontopolku,,,,,parking-spot,Muu,Yksityinen / yhdistys,Avaruuspuisto Väisälä,249254.10773236,6706328.87667998,Point (249254.10773236 6706328.87667998)
3,Taukopaikka,Taukopaikka,Lieto,Reitti: Ankka-Nautela luontopolku,,,,,rest-area,,,,251867.143585485,6719839.44475257,Point (251867.14358549 6719839.44475257)
4,Portaat,Portaat,Lieto,Reitti: Vanhalinnan Ystävänpolku,,,,,stairs,,,Vanhalinna,245642.852775033,6713795.08835029,Point (245642.85277503 6713795.08835029)
5,Laavu,Tulipaikka,Lieto,Reitti: Ankka-Nautela luontopolku,,,,,fire-pit,,,Liesan maja,252165.383340254,6719120.08476801,Point (252165.38334025 6719120.08476801)
6,Kota,Tulipaikka,Lieto,Hamppukota ja tulipaikka Reitti: Hämeen Härkätie,,,,,fire-pit,,,Parmaharju,255896.511248687,6718069.0147056,Point (255896.51124869 6718069.0147056)
8,Taukopaikka,Taukopaikka,Lieto,Katettu eväspöytä ja penkit Reitti: Ankka-Nautela luontopolku,,,,,rest-area,,,Poso,252719.153938245,6721241.91135619,Point (252719.15393824 6721241.91135619)
9,Portaat,Portaat,Lieto,"Pitkät, puiset portaat Reitti: Nautelankosken luonnonsuojelualueen polut / Aurajoen melontareitti",,,,,stairs,,,Nautelankoski,251154.85681026,6721921.53129717,Point (251154.85681026 6721921.53129717)
10,Laituri,Vesillelasku,Lieto,Reitti: Aurajoen melontareitti,,,,,boat-ramp,,,Liedon Vanhalinna,246118.685478776,6714696.28847793,Point (246118.68547878 6714696.28847793)
11,Pysäköintialue,Pysakointialue,Lieto,Reitti: Ankka-Nautela luontopolku,,,,,parking-spot,,,Ankka,252819.286340106,6718782.69654153,Point (252819.28634011 6718782.69654153)
12,Pysäköintialue,Pysakointialue,Lieto,Reitti: Ankka-Nautela luontopolku,,,,,parking-spot,,,Pieneläinhautausmaa,251972.218029807,6719507.24923929,Point (251972.21802981 6719507.24923929)
13,Pysäköintialue,Pysakointialue,Lieto,Reitti: Ankka-Nautela luontopolku / Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut,,,,,parking-spot,,,Nautelankoski,250850.166890521,6722345.25571612,Point (250850.16689052 6722345.25571612)
14,Pysäköintialue,Pysakointialue,Lieto,Reitti: Littoistenjärven luontopolku / Kuuden kunnanosan kierros,,,,,parking-spot,,,Järvelä,246463.068788112,6711471.34295926,Point (246463.06878811 6711471.34295926)
15,Pysäköintialue,Pysakointialue,Lieto,Reitti: Hämeen Härkätie / Kuuden kunnanosan kierros / Vanhalinnan kulttuuri- ja luontopolut,,,,,parking-spot,,,Liedon Vanhalinna,246313.954171553,6714554.330952,Point (246313.95417155 6714554.330952)
16,Pysäköintialue,Pysakointialue,Lieto,Reitti: Hämeen Härkätie / Kuuden kunnanosan kierros,,,,,parking-spot,,,Liedon kaupungintalo,250326.315011634,6716563.12650024,Point (250326.31501163 6716563.12650024)
19,Tammireittien opastaulu,Opastaulu,Lieto,Reitti: Kuuden kunnanosan kierros,,,,,information-board,,,Verkatehdas,247346.794172588,6710317.16522442,Point (247346.79417259 6710317.16522442)
20,Tammireittien opastaulu,Opastaulu,Lieto,Reitti: Kuuden kunnanosan kierros,,,,,information-board,,,Saukonoja,253280.225887639,6714239.15701292,Point (253280.22588764 6714239.15701292)
21,Tammireittien opastaulu,Opastaulu,Lieto,Reitti: Kuuden kunnanosan kierros,,,,,information-board,,,Ilmaristen matkailutila,246054.098795966,6715792.80227838,Point (246054.09879597 6715792.80227838)
22,Tammireittien opastaulu,Opastaulu,Lieto,Reitti: Kuuden kunnanosan kierros / Littoistenjärven luontopolku,,,,,information-board,,,Järvelä,246468.355126828,6711432.49396767,Point (246468.35512683 6711432.49396767)
23,Tammireittien opastaulu,Opastaulu,Lieto,Reitti: Kuuden kunnanosan kierros / Vanhalinnan kulttuuri- ja luontopolut / Hämeen Härkätie,,,,,information-board,,,Liedon Vanhalinna,246232.595892511,6714481.97587383,Point (246232.59589251 6714481.97587383)
24,Tammireittien opastaulu,Opastaulu,Lieto,Reitti: Ankka-Nautela luontopolku,,,,,information-board,,,Ankan pysäköintialue,252817.076458741,6718785.16380578,Point (252817.07645874 6718785.16380578)
25,Tammireittien opastaulu,Opastaulu,Lieto,Reitti: Ankka-Nautela luontopolku,,,,,information-board,,,Pieneläinhautausmaa,251977.3905882,6719540.25773654,Point (251977.3905882 6719540.25773654)
26,Tammireittien opastaulu,Opastaulu,Lieto,Reitti: Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut / Ankka-Nautela luontopolku,,,,,information-board,,,Nautelankoski,250918.988376812,6722345.10811119,Point (250918.98837681 6722345.10811119)
