omistaja,yllapitaja,tyyppi,lisatieto,kunta,reitti,kohde,sijainti,palvelut,linkki,rotate,source_id,y_eureffin,geometry,x_eureffin
Muu,Yksityinen / yhdistys,Pysakointi_liikeste,,Kaarina,Tuorlan esteetön luontopolku,Pysäköintialue,Avaruuspuisto Väisälä,,,,1,6706328.87667998,Point (249254.10773236 6706328.87667998),249254.10773236
,,Luontotorni,,Lieto,Nautelankosken luonnonsuojelualueen polut / Aurajoen melontareitti,Näkötorni,Nautelankoski,,,,2,6721945.29509979,Point (251156.5587388 6721945.29509979),251156.558738795
,,Taukopaikka,,Lieto,Ankka-Nautela luontopolku,Taukopaikka,,,,,3,6719839.44475257,Point (251867.14358549 6719839.44475257),251867.143585485
,,Portaat,,Lieto,Vanhalinnan Ystävänpolku,Portaat,Vanhalinna,,,,4,6713795.08835029,Point (245642.85277503 6713795.08835029),245642.852775033
,,Tulipaikka,,Lieto,Ankka-Nautela luontopolku,Laavu,Liesan maja,,,,5,6719120.08476801,Point (252165.38334025 6719120.08476801),252165.383340254
,,Tulipaikka,Hamppukota ja tulipaikka,Lieto,Hämeen Härkätie,Kota,Parmaharju,,,,6,6718069.0147056,Point (255896.51124869 6718069.0147056),255896.511248687
Kunta,Kunta / muu,Luontotorni,,Lieto,Littoistenjärven luontopolku / Kuuden kunnanosan kierros,Lintutorni,Järvelä,,,,7,6711691.87185586,Point (246292.61084938 6711691.87185586),246292.610849377
,,Taukopaikka,Katettu eväspöytä ja penkit,Lieto,Ankka-Nautela luontopolku,Taukopaikka,Poso,,,,8,6721241.91135619,Point (252719.15393824 6721241.91135619),252719.153938245
,,Portaat,"Pitkät, puiset portaat",Lieto,Nautelankosken luonnonsuojelualueen polut / Aurajoen melontareitti,Portaat,Nautelankoski,,,,9,6721921.53129717,Point (251154.85681026 6721921.53129717),251154.85681026
,,Vesillelasku,,Lieto,Aurajoen melontareitti,Laituri,Liedon Vanhalinna,,,,10,6714696.28847793,Point (246118.68547878 6714696.28847793),246118.685478776
,,Pysakointialue,,Lieto,Ankka-Nautela luontopolku,Pysäköintialue,Ankka,,,,11,6718782.69654153,Point (252819.28634011 6718782.69654153),252819.286340106
,,Pysakointialue,,Lieto,Ankka-Nautela luontopolku,Pysäköintialue,Pieneläinhautausmaa,,,,12,6719507.24923929,Point (251972.21802981 6719507.24923929),251972.218029807
,,Pysakointialue,,Lieto,Ankka-Nautela luontopolku / Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut,Pysäköintialue,Nautelankoski,,,,13,6722345.25571612,Point (250850.16689052 6722345.25571612),250850.166890521
,,Pysakointialue,,Lieto,Littoistenjärven luontopolku / Kuuden kunnanosan kierros,Pysäköintialue,Järvelä,,,,14,6711471.34295926,Point (246463.06878811 6711471.34295926),246463.068788112
,,Pysakointialue,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros / Vanhalinnan kulttuuri- ja luontopolut,Pysäköintialue,Liedon Vanhalinna,,,,15,6714554.330952,Point (246313.95417155 6714554.330952),246313.954171553
,,Pysakointialue,,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros,Pysäköintialue,Liedon kaupungintalo,,,,16,6716563.12650024,Point (250326.31501163 6716563.12650024),250326.315011634
,,Kahvila,Vanhalinna,Lieto,Hämeen Härkätie / Kuuden kunnanosan kierros / Vanhalinnan kulttuuri- ja luontopolut,Kartanon päärakennus,Liedon Vanhalinna,Vanhalinnan palvelut,https://vanhalinna.fi/,,17,6714480.4595376,Point (246196.54214042 6714480.4595376),246196.54214042
,,Kahvila,Nautelankosken museo,Lieto,Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut / Ankka-Nautela luontopolku,Nautelankosken museo,Nautelankoski,Nautelankosken museon palvelut,https://www.liedonmuseo.fi/,,18,6722378.42113587,Point (250882.41123647 6722378.42113587),250882.411236469
,,Opastaulu,,Lieto,Kuuden kunnanosan kierros,Tammireittien opastaulu,Verkatehdas,,,,19,6710317.16522442,Point (247346.79417259 6710317.16522442),247346.794172588
,,Opastaulu,,Lieto,Kuuden kunnanosan kierros,Tammireittien opastaulu,Saukonoja,,,,20,6714239.15701292,Point (253280.22588764 6714239.15701292),253280.225887639
,,Opastaulu,,Lieto,Kuuden kunnanosan kierros,Tammireittien opastaulu,Ilmaristen matkailutila,,,,21,6715792.80227838,Point (246054.09879597 6715792.80227838),246054.098795966
,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Littoistenjärven luontopolku,Tammireittien opastaulu,Järvelä,,,,22,6711432.49396767,Point (246468.35512683 6711432.49396767),246468.355126828
,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Vanhalinnan kulttuuri- ja luontopolut / Hämeen Härkätie,Tammireittien opastaulu,Liedon Vanhalinna,,,,23,6714481.97587383,Point (246232.59589251 6714481.97587383),246232.595892511
,,Opastaulu,,Lieto,Ankka-Nautela luontopolku,Tammireittien opastaulu,Ankan pysäköintialue,,,,24,6718785.16380578,Point (252817.07645874 6718785.16380578),252817.076458741
,,Opastaulu,,Lieto,Ankka-Nautela luontopolku,Tammireittien opastaulu,Pieneläinhautausmaa,,,,25,6719540.25773654,Point (251977.3905882 6719540.25773654),251977.3905882
,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut / Ankka-Nautela luontopolku,Tammireittien opastaulu,Nautelankoski,,,,26,6722345.10811119,Point (250918.98837681 6722345.10811119),250918.988376812
,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Hämeen Härkätie,Tammireittien opastaulu,Yliskulma,,,,27,6719860.37850119,Point (257759.29410525 6719860.37850119),257759.294105247
,,Opastaulu,,Lieto,Kuuden kunnanosan kierros / Hämeen Härkätie,Tammireittien opastaulu,Liedon keskusta,,,,28,6716153.7435395,Point (250231.96384295 6716153.7435395),250231.963842949
,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Littoisten verkatehdas,Littoinen,,,,29,6710411.65300158,Point (247263.09300327 6710411.65300158),247263.093003273
,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Kuoviluoto,Kuoviluoto,,,,30,6710687.14514581,Point (246981.61314957 6710687.14514581),246981.613149573
,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Saukonojan vanha koulu,Saukonoja,,,,31,6715032.5309628,Point (254810.45665305 6715032.5309628),254810.456653047
,,Nahtavyys,,Lieto,Kuuden kunnanosan kierros,Keppolan aitta,Saukonoja,,,,32,6715952.11006784,Point (254717.84429574 6715952.11006784),254717.844295744
,,Silta,,Lieto,Kuuden kunnanosan kierros / Nautelankosken luonnonsuojelualueen polut / Ankka-Nautela luontopolku,Nautelankosken silta,Nautelankoski,,,,33,6722357.21409557,Point (250972.11285625 6722357.21409557),250972.112856247
,,Silta,,Lieto,Kuuden kunnanosan kierros,Kurkelantien silta,,,,,34,6717944.67061186,Point (250201.2992815 6717944.67061186),250201.299281503
,,Silta,,Lieto,Kuuden kunnanosan kierros,Vääntelänkosken silta,Vääntelänkoski,,,,35,6715440.19748178,Point (248145.76879336 6715440.19748178),248145.768793364
,,Silta,,Lieto,Kuuden kunnanosan kierros,Suomensilta,Yliskulma,,,,36,6719737.17942278,Point (257969.01912777 6719737.17942278),257969.019127767
