fid,omistaja,yllapitaja,tyyppi,lisatieto,kunta,reitti,kohde,sijainti,palvelut,linkki,rotate,source_id,lipas_id,lipas_tyyppikoodi,lipas_tyyppi_nimi_fi,lipas_nimi_fi,n,distance,feature_x,feature_y,nearest_x,nearest_y
1,Muu,Yksityinen / yhdistys,Pysakointi_liikeste,,Kaarina,Tuorlan esteetön luontopolku,Pysäköintialue,Avaruuspuisto Väisälä,,,,1,,,,,,,,,,
2,,,Luontotorni,,Lieto,Nautelankosken luonnonsuojelualueen polut / Aurajoen melontareitti,Näkötorni,Nautelankoski,,,,2,610047,204,Luontotorni,Nautelan lintutorni,1,11.2081682230777,251156.558738795,6721945.29509979,251147.2793,6721939.009
3,,,Taukopaikka,,Lieto,Ankka-Nautela luontopolku,Taukopaikka,,,,,3,,,,,,,,,,
4,,,Portaat,,Lieto,Vanhalinnan Ystävänpolku,Portaat,Vanhalinna,,,,4,,,,,,,,,,
5,,,Tulipaikka,,Lieto,Ankka-Nautela luontopolku,Laavu,Liesan maja,,,,5,,,,,,,,,,
6,,,Tulipaikka,Hamppukota ja tulipaikka,Lieto,Hämeen Härkätie,Kota,Parmaharju,,,,6,617759,301,"Laavu, kota tai kammi",Hamppukota,1,6.02137378508707,255896.511248687,6718069.0147056,255898.0727,6718074.8301
7,Kunta,Kunta / muu,Luontotorni,,Lieto,Littoistenjärven luontopolku / Kuuden kunnanosan kierros,Lintutorni,Järvelä,,,,7,611083,204,Luontotorni,Järvelän näköala- ja lintutorni,1,3.22288606224389,246292.610849377,6711691.87185586,246290.3762,6711689.5495
8,Kunta,Kunta / muu,Luontotorni,,Lieto,Littoistenjärven luontopolku / Kuuden kunnanosan kierros,Lintutorni,Järvelä,,,,7,606725,204,Luontotorni,Littoistenjärven lintutorni,2,139.553462019526,246292.610849377,6711691.87185586,246327.5,6711556.75
9,,,Taukopaikka,Katettu eväspöytä ja penkit,Lieto,Ankka-Nautela luontopolku,Taukopaikka,Poso,,,,8,,,,,,,,,,
10,,,Portaat,"Pitkät, puiset portaat",Lieto,Nautelankosken luonnonsuojelualueen polut / Aurajoen melontareitti,Portaat,Nautelankoski,,,,9,610047,204,Luontotorni,Nautelan lintutorni,1,19.0496393145214,251154.85681026,6721921.53129717,251147.2793,6721939.009
11,,,Vesillelasku,,Lieto,Aurajoen melontareitti,Laituri,Liedon Vanhalinna,,,,10,,,,,,,,,,
12,,,Pysakointialue,,Lieto,Ankka-Nautela luontopolku,Pysäköintialue,Ankka,,,,11,,,,,,,,,,
13,,,Pysakointialue,,Lieto,Ankka-Nautela luontopolku,Pysäköintialue,Pieneläinhautausmaa,,,,12,,,,,,,,,,
